target_id	length	eff_length	est_counts	tpm
Y62E10A.5a	598	418.74	52.4518	35.622
Y62E10A.5b.1	579	399.74	0	0
Y62E10A.5b.2	574	394.74	14.5482	10.4809
F09E5.13	1231	1051.74	155.883	42.1496
C25A1.11a	1605	1425.74	70.1823	13.9988
C25A1.11b	1599	1419.74	0	0
C41G7.5a	1841	1661.74	0	0
C41G7.5b	1803	1623.74	0	0
F58E10.4	1059	879.74	287	92.7748
K07C11.2.1	1343	1163.74	48.0286	11.7367
K07C11.2.2	1421	1241.74	828.971	189.85
B0207.4	1121	941.74	345	104.181
C25A11.4a	4737	4557.74	0	0
C25A11.4b	2842	2662.74	36.5364	3.90211
C25A11.4c	3829	3649.74	0	0
C25A11.4d	4614	4434.74	100.107	6.41947
C25A11.4e	3084	2904.74	57.3566	5.61537
D1022.7a.1	4264	4084.74	0.0845286	0.00588494
D1022.7a.2	4305	4125.74	0.156233	0.010769
D1022.7b.1	4279	4099.74	252.386	17.507
D1022.7b.2	4317	4137.74	958.373	65.8679
D1022.7c.1	1953	1773.74	0	0
D1022.7c.2	1991	1811.74	0	0
C12D8.10a	2119	1939.74	847.576	124.262
C12D8.10b	2134	1954.74	72.424	10.5365
C12D8.10c	1996	1816.74	0	0
F28H6.1a	2002	1822.74	93	14.5098
F28H6.1b	2381	2201.74	0	0
F48F7.1a	4587	4407.74	147	9.48427
F48F7.1b	4968	4788.74	0	0
T07D3.7a	3247	3067.74	296.616	27.4965
T07D3.7b	3156	2976.74	9.38422	0.896519
F54D8.3a.1	1608	1428.74	1000.9	199.222
F54D8.3a.2	1703	1523.74	325.589	60.766
F54D8.3b.1	1607	1427.74	28.5325	5.68321
F54D8.3b.2	1702	1522.74	11.2308	2.09742
F54D8.3b.3	1666	1486.74	105.752	20.2282
F54D8.3b.4	1387	1207.74	0	0
K04F1.15	1641	1461.74	0	0
F36H1.6	2866	2686.74	321	33.9768
T05H4.13a.1	1583	1403.74	0.0816914	0.0165498
T05H4.13a.2	1596	1416.74	237.733	47.7202
T05H4.13b.1	1910	1730.74	0.496392	0.0815634
T05H4.13b.2	1923	1743.74	317.832	51.8344
T05H4.13c.1	1669	1489.74	0.0207306	0.00395735
T05H4.13c.2	1682	1502.74	39.8361	7.53869
T08B1.3	1379	1199.74	34	8.05924
F56D12.1a.1	1840	1660.74	1.64594e-06	2.81847e-07
F56D12.1a.2	1936	1756.74	40.6884	6.58667
F56D12.1a.3	1850	1670.74	270.841	46.1008
F56D12.1b.1	1542	1362.74	0	0
F56D12.1b.2	1638	1458.74	4.05797	0.791104
F56D12.1b.3	1552	1372.74	37.7237	7.81498
F56D12.1c.1	1823	1643.74	0	0
F56D12.1c.2	1919	1739.74	4.04504e-08	6.61212e-09
F56D12.1c.3	1833	1653.74	9.7522e-08	1.67702e-08
F56D12.1d.1	1660	1480.74	0	0
F56D12.1d.2	1936	1756.74	40.6884	6.58667
F45H10.1a.1	1748	1568.74	110.18	19.9734
F45H10.1a.2	1567	1387.74	10.257	2.10192
F45H10.1b	872	692.74	51.1184	20.985
F13D12.4a.1	1789	1609.74	314.677	55.5919
F13D12.4a.2	1828	1648.74	1568.19	270.488
F13D12.4a.3	1840	1660.74	422.728	72.3872
F13D12.4b	1824	1644.74	9.4078	1.62665
F01F1.6.1	1832	1652.74	326.178	56.1245
F01F1.6.2	1952	1772.74	531.822	85.3147
C54D1.4	1656	1476.74	32	6.16238
F42G9.5a	2154	1974.74	45.3562	6.53175
F42G9.5b	1588	1408.74	106.644	21.5282
