WBIDS
WBGene00001477
WBGene00012323
WBGene00009042
WBGene00012324
WBGene00004025
WBGene00012850
WBGene00001160
WBGene00003647
WBGene00010320
WBGene00001178
WBGene00018461
WBGene00016052
WBGene00001059
WBGene00012249
WBGene00007851
WBGene00012600
WBGene00011185
WBGene00010759
WBGene00003792
WBGene00016405
WBGene00012444
WBGene00010661
